Instrument Name,LMAX ID,LMAX symbol ,Contract Multiplier,Tick Size,Tick Value,Effective Date,Expiry Date,Quoted CCY
AUD/JPY,4008,AUD/JPY,10000,0.001,10,09/07/2010,,JPY
AUD/USD,4007,AUD/USD,10000,0.00001,0.1,09/07/2010,,USD
CHF/JPY,4009,CHF/JPY,10000,0.001,10,09/07/2010,,JPY
EUR/AUD,4016,EUR/AUD,10000,0.00001,0.1,09/07/2010,,AUD
EUR/CAD,4015,EUR/CAD,10000,0.00001,0.1,09/07/2010,,CAD
EUR/CHF,4011,EUR/CHF,10000,0.00001,0.1,09/07/2010,,CHF
EUR/GBP,4003,EUR/GBP,10000,0.00001,0.1,09/07/2010,,GBP
EUR/JPY,4006,EUR/JPY,10000,0.001,10,09/07/2010,,JPY
EUR/USD,4001,EUR/USD,10000,0.00001,0.1,09/07/2010,,USD
GBP/AUD,4017,GBP/AUD,10000,0.00001,0.1,09/07/2010,,AUD
GBP/CAD,4014,GBP/CAD,10000,0.00001,0.1,09/07/2010,,CAD
GBP/CHF,4012,GBP/CHF,10000,0.00001,0.1,09/07/2010,,CHF
GBP/JPY,4005,GBP/JPY,10000,0.001,10,09/07/2010,,JPY
GBP/USD,4002,GBP/USD,10000,0.00001,0.1,09/07/2010,,USD
USD/CAD,4013,USD/CAD,10000,0.00001,0.1,09/07/2010,,CAD
USD/CHF,4010,USD/CHF,10000,0.00001,0.1,09/07/2010,,CHF
USD/JPY,4004,USD/JPY,10000,0.001,10,09/07/2010,,JPY
EUR/CZK,100479,EUR/CZK,10000,0.0001,1,05/07/2011,,CZK
GBP/CZK,100481,GBP/CZK,10000,0.0001,1,05/07/2011,,CZK
USD/CZK,100483,USD/CZK,10000,0.0001,1,05/07/2011,,CZK
EUR/DKK,100485,EUR/DKK,10000,0.00001,0.1,05/07/2011,,DKK
GBP/DKK,100487,GBP/DKK,10000,0.00001,0.1,05/07/2011,,DKK
USD/DKK,100489,USD/DKK,10000,0.00001,0.1,05/07/2011,,DKK
EUR/HKD,100491,EUR/HKD,10000,0.00001,0.1,05/07/2011,,HKD
GBP/HKD,100493,GBP/HKD,10000,0.00001,0.1,05/07/2011,,HKD
USD/HKD,100495,USD/HKD,10000,0.00001,0.1,05/07/2011,,HKD
EUR/HUF,100497,EUR/HUF,10000,0.001,10,05/07/2011,,HUF
GBP/HUF,100499,GBP/HUF,10000,0.001,10,05/07/2011,,HUF
USD/HUF,100501,USD/HUF,10000,0.001,10,05/07/2011,,HUF
EUR/MXN,100503,EUR/MXN,10000,0.00001,0.1,05/07/2011,,MXN
GBP/MXN,100505,GBP/MXN,10000,0.00001,0.1,05/07/2011,,MXN
USD/MXN,100507,USD/MXN,10000,0.00001,0.1,05/07/2011,,MXN
EUR/NOK,100509,EUR/NOK,10000,0.00001,0.1,05/07/2011,,NOK
GBP/NOK,100511,GBP/NOK,10000,0.00001,0.1,05/07/2011,,NOK
